('2017-04-19 04:51:57', 'RT @WallStreeTopGun: That $NFLX should be at $125 or so...no excuse for weak growth to be rewarded when priced at these nose bleed levels.…')
('2017-04-19 04:45:33', "RT @MotleyFoolTech: Netflix didn't quite meet its subscriber growth target last quarter, but it posted a strong profit anyway. $NFLX https:…")
('2017-04-19 04:41:55', 'Stocks Retreat as Volume Surges https://t.co/1PmFbzPfrN $BAC $GS $NFLX $COMPQ $SPX $DJIA $RUT')
('2017-04-19 04:35:02', 'RT @StockWebTrading: $MYL $NFLX $ORCL $QCOM $SBUX $SOHU Trade long and short positions from the #NASDAQ, up to 190% since 2011. https://t.c…')
('2017-04-19 04:28:20', 'RT @iknowfirst: Predictions For The Stock Market Tomorrow \nGet The Best Market Opportunities Today  https://t.co/5B3psy05Pb   #spy $aapl $a…')
('2017-04-19 04:27:08', 'Predictions For The Stock Market Tomorrow \nGet The Best Market Opportunities Today  https://t.co/u3HngGGUva   #spy $aapl $amd $nflx')
('2017-04-19 04:27:08', 'Predictions For The Stock Market Tomorrow \nGet The Best Market Opportunities Today  https://t.co/q2RM65II0b   #spy $aapl $amd $nflx')
('2017-04-19 04:27:08', 'Predictions For The Stock Market Tomorrow \nGet The Best Market Opportunities Today  https://t.co/YcJ60CWcfF   #spy $aapl $amd $nflx')
('2017-04-19 04:27:08', 'Predictions For The Stock Market Tomorrow \nGet The Best Market Opportunities Today  https://t.co/9mo3j0pAWj   #spy $aapl $amd $nflx')
('2017-04-19 04:27:08', 'Predictions For The Stock Market Tomorrow \nGet The Best Market Opportunities Today  https://t.co/Nxlw2tF1rs   #spy $aapl $amd $nflx')
('2017-04-19 04:27:08', 'Predictions For The Stock Market Tomorrow \nGet The Best Market Opportunities Today  https://t.co/uFTxFSWMkU   #spy $aapl $amd $nflx')
('2017-04-19 04:27:08', 'Predictions For The Stock Market Tomorrow \nGet The Best Market Opportunities Today  https://t.co/5JnzhUTa0Q   #spy $aapl $amd $nflx')
('2017-04-19 04:27:08', 'Predictions For The Stock Market Tomorrow \nGet The Best Market Opportunities Today  https://t.co/vTTzuO6Bk0   #spy $aapl $amd $nflx')
('2017-04-19 04:27:08', 'Predictions For The Stock Market Tomorrow \nGet The Best Market Opportunities Today  https://t.co/jWTqkhkrYG   #spy $aapl $amd $nflx')
('2017-04-19 04:27:08', 'Predictions For The Stock Market Tomorrow \nGet The Best Market Opportunities Today  https://t.co/5B3psy05Pb   #spy $aapl $amd $nflx')
('2017-04-19 04:27:08', 'Predictions For The Stock Market Tomorrow \nGet The Best Market Opportunities Today  https://t.co/RgR8QFmxNs   #spy $aapl $amd $nflx')
('2017-04-19 04:27:08', 'Predictions For The Stock Market Tomorrow \nGet The Best Market Opportunities Today  https://t.co/VB1GVZuQCR   #spy $aapl $amd $nflx')
('2017-04-19 04:04:34', '$MYL $NFLX $ORCL $QCOM $SBUX $SOHU Trade long and short positions from the #NASDAQ, up to 190% since 2011. https://t.co/T3Fv7dn8iq $QQQ $DIA')
('2017-04-19 04:01:11', 'RT @Osirustwits: $NFLX could have sold more &amp; closer to the money took the high IV trade low risk #Option #Trade #LowHangingFruit @Ascend_T…')
('2017-04-19 04:00:37', 'RT @Ascend_Trading: Auto-Trend #TOS Script coming soon.... $AAPL $FB $TWTR $NFLX $AMZN $NVDA $IDXG $NUGT $DUST $ARGS #TradeSocially https:/…')
('2017-04-19 03:59:24', 'RT @Ascend_Trading: Auto-Trend #TOS Script coming soon.... $AAPL $FB $TWTR $NFLX $AMZN $NVDA $IDXG $NUGT $DUST $ARGS #TradeSocially https:/…')
('2017-04-19 03:52:09', 'RT @Ascend_Trading: Auto-Trend #TOS Script coming soon.... $AAPL $FB $TWTR $NFLX $AMZN $NVDA $IDXG $NUGT $DUST $ARGS #TradeSocially https:/…')
('2017-04-19 03:51:33', 'Auto-Trend #TOS Script coming soon.... $AAPL $FB $TWTR $NFLX $AMZN $NVDA $IDXG $NUGT $DUST $ARGS #TradeSocially… https://t.co/FTEkW3KTrl')
('2017-04-19 03:49:04', 'RT @hustonca: Catching up on Netflix, whose main competitor is sleep, according to Reed Hastings. $NFLX https://t.co/8mMRPKoNa2')
('2017-04-19 03:47:38', 'I follow the trend, but when it comes to a choppy market I manage risk with tight stops and short term price targets. $SPY $TSLA $AAPL $NFLX')
('2017-04-19 03:47:22', 'RT @karangoel: $NFLX net assets: $14B\n$NFLX content obligations: $15B https://t.co/hEBy3dOHBt')
('2017-04-19 03:30:11', 'In the near term $NFLX should take on a more cautious view of the stock https://t.co/qIgw8lKDgW')
('2017-04-19 03:25:13', 'Are you Bullish or Bearish on #Netflix? Start #Trading $NFLX with #Bitcoin. 15:1 Leverage. #Stocks #Blockchain #BTC… https://t.co/ajIN7r2Vwr')
('2017-04-19 03:23:33', 'Netflix, Inc. $NFLX Earns Buy Rating from Bank of America Corp https://t.co/iD2LbYOFof')
('2017-04-19 03:23:32', 'Netflix, Inc. $NFLX PT Raised to $165.00 at Canaccord Genuity https://t.co/53ubfsWDWx')
('2017-04-19 03:22:17', 'Netflix, Inc. $NFLX Earns Buy Rating from Bank of America Corp https://t.co/OsLlsDsqXl')
('2017-04-19 03:22:16', 'Netflix, Inc. $NFLX PT Raised to $165.00 at Canaccord Genuity https://t.co/LsYMEPn5f4')
('2017-04-19 03:18:52', 'RT @420WeedStreet: $SPY AWESOME! @RedDogT3  $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $U…')
('2017-04-19 03:00:24', "I don't short over the 200d \nI'm still uber Long $NFLX https://t.co/DXS2adKqfy")
('2017-04-19 02:59:49', 'RT @420WeedStreet: $SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $ES_F https://t.…')
('2017-04-19 02:58:23', '@LMT978 Shorting $nflx?')
('2017-04-19 02:51:27', 'RT @barronstechblog: Apple: Buying Netflix Their Best Bet To Close Services Gap, Says Credit Suisse - Tech Trader Daily - $AAPL $NFLX https…')
('2017-04-19 02:50:26', 'RT @barronstechblog: Apple: Buying Netflix Their Best Bet To Close Services Gap, Says Credit Suisse - Tech Trader Daily - $AAPL $NFLX https…')
('2017-04-19 02:42:59', "RT @jfahmy: Last Night's Market Recap VIDEO: https://t.co/z0JVEGPAKm $SPY $IWM $NFLX $CRM")
('2017-04-19 02:42:20', 'My thoughts/review of the @RobinhoodApp trading app - https://t.co/jOFQucW8Cn $AAPL $IBM $SPY $NFLX $TSLA $FB $DRYS $USRM $MMEX $DOLV $BVTK')
('2017-04-19 02:41:27', 'Commented on Why Netflix May Never Actually Turn A Real Profit https://t.co/KU1z2zq3HT $NFLX')
('2017-04-19 02:40:20', 'RT @HedgeStrategy: Agree on $TSLA fully;  on $NFLX, $NVDA we think 20% downside is realistic! Non-bubble stocks like $IBM, $AAPL will also…')
('2017-04-19 02:39:26', 'Cheap put options and hedges: $NFLX puts cheaper than 100% of history, $BIDU 100%, $CELG 99%, $TWX 99%, $GOOGL 99%, $FB 98%, $AAPL 98%')
('2017-04-19 02:31:40', 'RT @420WeedStreet: $SPY AWESOME! @RedDogT3  $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $U…')
('2017-04-19 02:30:50', '$SPY AWESOME! @RedDogT3  $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO… https://t.co/xBEP79PwIX')
('2017-04-19 02:29:04', '$NFLX takes hit on subsciber numbers!')
('2017-04-19 02:26:25', '$SPY $ES_F $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY @CNN… https://t.co/Kl3XBgqngz')
('2017-04-19 02:11:34', 'RT @420WeedStreet: $SPY #MOAB $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://t.…')
('2017-04-19 02:07:49', '$SPY #MOAB $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://t.co/H1EYTODBlk')
('2017-04-19 02:07:32', 'RT @420WeedStreet: $SPY $ES_F $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $PCLN http…')
('2017-04-19 02:03:46', '$SPY $ES_F $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $PCLN https://t.co/8d0WqmWbWE')
('2017-04-19 02:03:40', 'RT @MobilePotpurri: More bad news from #LeEco: #EcoPass video stories pulled - $AMZN $NFLX #videoStreaming #VOD https://t.co/YlE1JMAIBS htt…')
('2017-04-19 01:58:34', '$NFLX Max Pain = 144.00. Maturity = 04/21/2017. Previous close = 147.25.  https://t.co/lEgRWXkWfU https://t.co/mbTNYKO3wy')
('2017-04-19 01:57:01', 'Seeing a relatively few stks make extended moves belies that reality, $AMZN $TSLA $NFLX $TSLA Not questioning validity of stories. $SPX $NDX')
('2017-04-19 01:54:51', 'Is Video Really the Answer for #Apple?  https://t.co/mlgCQ222mu $AAPL $NFLX')
('2017-04-19 01:51:57', '$NFLX -2.64% (a closer look) 4/18\nVolume 19,567,473 \n65 Day Avg Vol 5,902,189 \nMF= $ value composite uptick trades… https://t.co/VnMsL0Pvib')
('2017-04-19 01:51:26', 'RT @Investing_Books: The Options Edge by Michael Khouw: https://t.co/pBPwt6iYHn $SPY $AAPL $AMZN $NFLX $PCLN $VIX')
('2017-04-19 01:48:55', 'The Options Edge by Michael Khouw: https://t.co/pBPwt6iYHn $SPY $AAPL $AMZN $NFLX $PCLN $VIX')
('2017-04-19 01:41:06', "MF's 4/18 ($/M) #FANG\n$FB-14\n$AMZN+24\n$NFLX-40 (on 3x Vol)\n$GOOG+31\n$NVDA-10\n$ value of composite uptick trades - $ value of downtick trades")
('2017-04-19 01:22:39', '$NFLX will be $100 by 2018')
('2017-04-19 01:20:43', "@kris_warrior @SharkJeev @traderpetem Yeah I'm not having much luck lately. Working on repairing $DAL, and finally… https://t.co/5g3L2OP6km")
('2017-04-19 01:19:30', '$NFLX new #WillSmith movie #Bright looks kinda bass ass.')
('2017-04-19 01:12:38', 'RT @TradeWithMrX: With #Fresh leaders like $DY &amp; $TSLA, why the hell would you want to put #money into $NFLX or $NVDA at this stage? #study')
('2017-04-19 01:06:40', 'bot back short $NFLX Apr21 121 puts 4 -$0.01 each contract right @ #market open due 2 vol crush after #earnings last nite #NFLX')
('2017-04-19 01:04:27', 'RT @HedgeStrategy: Agree on $TSLA fully;  on $NFLX, $NVDA we think 20% downside is realistic! Non-bubble stocks like $IBM, $AAPL will also…')
('2017-04-19 01:00:56', '4/18. $GS &amp; $NFLX pullbacks https://t.co/Sx99xLxxz2')
('2017-04-19 00:59:38', 'Agree on $TSLA fully;  on $NFLX, $NVDA we think 20% downside is realistic! Non-bubble stocks like $IBM, $AAPL will… https://t.co/sJVORwnoRC')
('2017-04-19 00:56:23', 'RT @FoxBusiness: Netflix books biggest drop in 5 months despite #earnings beat $NFLX  https://t.co/YaOp4pio6A')
('2017-04-19 00:55:55', 'RT @miriamgottfried: Netflix investors will cling to net subscriber additions because non-GAAP metrics help support its valuation. $NFLX ht…')
('2017-04-19 00:52:14', 'Q1 #Earnings Update for $UAL, $NFLX, $BAC, $GS, $JNJ\n\nTomorrow: $YHOO, $MS, $IBM https://t.co/OaREvNxfvT')
('2017-04-19 00:50:32', "$NFLX has had a very long run of constant large #'s growth... The train had to slow eventually. Question is, is the gas out? #netflix")
('2017-04-19 00:47:11', '$NFLX Credit Suisse Thinks Apple Can Hit Its Services Target, Ups Price Target to $170 https://t.co/NHFHvOgwN3')
('2017-04-19 00:47:11', '$NFLX Stock Market Roundup, April 18: NFLX, JNJ, GS, HOG Slump on Earnings https://t.co/czfi5EgbNC')
('2017-04-19 00:47:10', '$NFLX Netflix, Inc. Earnings: The Single Most Important Number https://t.co/6SEcFWyEpr')
('2017-04-19 00:47:10', '$NFLX Bank of America Corp (BAC) Stock Is a Screaming Buy After Q1 Earnings https://t.co/ppgD8BXTBX')
('2017-04-19 00:47:09', "RT @TMLTrader: $NFLX How to Find and Own America's Greatest Opportunities (by William O'Neil): featuring Netflix. Courtesy of IBD https://t…")
('2017-04-19 00:47:09', "$NFLX After Netflix's Mixed Q1 Earnings, Should You Sell Your FANG Stocks? https://t.co/wFs2wx3rnB")
('2017-04-19 00:47:09', '$NFLX Tuesday’s Vital Data: Bank of America Corp (BAC), Netflix, Inc. (NFLX) and Alibaba Group Holding Ltd (BABA) https://t.co/WIu0kh0Dgt')
('2017-04-19 00:47:09', '$NFLX Go Long Netflix, Inc. (NFLX) Stock for Free https://t.co/ccyNNgusAu')
('2017-04-19 00:47:08', '$NFLX TASER Just Changed Its Name to Axon: Does It Matter? https://t.co/GmSM6oruCL')
('2017-04-19 00:47:08', '$NFLX Caterpillar, American Railcar, Netflix and United Continental highlighted as Zacks Bull and Bear of the Day https://t.co/M1dytIKkjy')
('2017-04-19 00:47:07', "$NFLX Amazon's Content Budget Is Catching Up With Netflix's (If It Hasn't Already) https://t.co/No3KxsfeQ2")
('2017-04-19 00:47:07', "$NFLX Netflix's Plan Doesn't Include Following Amazon Into Live Events https://t.co/KwElpmd38C")
('2017-04-19 00:47:07', '$NFLX 13 Reasons Why Netflix Will Have to Bounce Back in Q2 https://t.co/qglDrNZ6th')
('2017-04-19 00:47:06', '$NFLX Nasdaq 100 Movers: NFLX, TSCO https://t.co/47q5ykfaFB')
('2017-04-19 00:47:06', '$NFLX 5 ETFs Set to Surge Post Netflix Q1 Results https://t.co/iOnlzuREut')
('2017-04-19 00:47:05', '$NFLX Netflix (NFLX) Q1 Earnings Beat, Revenues Miss Estimates https://t.co/luaafQfwAt')
('2017-04-19 00:34:10', 'RT @eWhispers: #earnings $BAC $NFLX $GS $UNH $JNJ $IBM $GE $QCOM $VZ $SCHW $MS $CUDA $BX $PGR $V $MTB $HOG $ABT $UAL $CMA $RF $USB  https:/…')
('2017-04-19 00:32:17', '$NFLX look where this little puppy closed... 50day https://t.co/ya5nt0BxZi')
('2017-04-19 00:22:31', '@Reuters I remember a few months back $NFLX put some racist documentary on &amp; folks were threatening to #boycott. Lo… https://t.co/17s95hL5rk')
('2017-04-19 00:13:56', "US intercepts 2 Russian bombers near Alaska's coast https://t.co/IguHx4lY97 $SPY $SPX $QQQ $ES_F $IWM $IBB $AAPL $NFLX $AMZN $GS $BAC $USO")
('2017-04-19 00:13:02', "Benzinga: What Wall Street Thinks Of Netflix's Q1 Earnings https://t.co/WHA7P64syA $NFLX")
('2017-04-19 00:11:36', '@realwillmeade $NFLX only $5 from ATH and $4 of that came today.   Overpriced for sure but I doubt it drops 50%')
('2017-04-19 00:10:42', 'Who Will Beat And Who Will Miss This Season? The Biggest Expected Surprises For Q1 2017 Earnings $WMT $AMZN $NFLX https://t.co/FT4J1amhBX')
('2017-04-19 00:09:03', '$NFLX What do you think about it? #InvestorsHangout $CFFN $CROX $DWAT $OSBCP $FBNK\n\n https://t.co/Iwfncs7gWd')
('2017-04-19 00:03:14', 'Bubble stocks $NFLX are popping, this market is set for a 10% to 20% correction over the next 2 months, where $TSLA $NFLX $NVDA drop 50%')
('2017-04-19 00:00:01', "What Wall Street Thinks Of Netflix's Q1 Earnings https://t.co/8pgXXXr2du $NFLX")
('2017-04-18 23:40:05', "Hollywood has some rules. And if you don't want to play by their rules, you take a big risk https://t.co/tAsNOxUPgO $NFLX")
('2017-04-18 23:36:57', 'RT @theflynews: On The Fly: Top stock stories for Tuesday $GS $BAC $JNJ $NFLX $FB $GNC $CAB $SNV $COF $CUDA $CAH $MDT https://t.co/dRkXAIHq…')
('2017-04-18 23:33:56', 'Dave Landry on Swing Trading: https://t.co/SpqvWWKGCo $AMZN $SPY $PCLN $GOOGL $NFLX $C $WFM $JPM')
('2017-04-18 23:30:54', 'Daily Most Covered Stock: 6 reports on $NFLX https://t.co/WLsFruqYQ5')
('2017-04-18 23:28:17', 'RT @miriamgottfried: Look past Netflix\'s sub numbers, and you find rising debt and negative FCF for "many years" to come. $NFLX https://t.c…')
('2017-04-18 23:22:57', 'RT @johnscharts: $NFLX update. Breached support with volume on channel, but closed within. https://t.co/TmQ6hX1aYX')
('2017-04-18 23:20:59', '$NFLX Closed the May 5, 2017 Iron Condor for 70% profits.')
('2017-04-18 23:20:22', 'Updated positions and not married to any of them.\n\nS $AAPL $NFLX $GC\nL $GS $ES')
('2017-04-18 23:20:16', '@optionbag $NFLX and $UVXY were nice scalpers today...')
('2017-04-18 23:17:34', 'Netflix, Inc. $NFLX Given Neutral Rating at Credit Suisse Group AG https://t.co/YWvuBvfzzV')
('2017-04-18 23:17:23', '$NFLX high open interest range is 130.00 to 145.00 for option expiration 04/21/2017. https://t.co/doCfoTVJ8p https://t.co/Sw8UM5ghpj')
('2017-04-18 23:14:34', '$NFLX update. Breached support with volume on channel, but closed within. https://t.co/TmQ6hX1aYX')
('2017-04-18 23:12:01', '3 Bearish Engulfing Candles to watch for intra-day shorts\n\nhttps://t.co/hYvkuhZMxo\n\n$NFLX $PLD $AET https://t.co/cFE1OoqL8e')
('2017-04-18 23:09:41', 'Triple Digit Loss - Market Update by Vince Vora for April 18th, 2017\n#stocks $AMZN $NFLX $GS $IBM $YHOO $JNJ https://t.co/DAH5zcxkME')
('2017-04-18 23:05:05', "Netflix didn't quite meet its subscriber growth target last quarter, but it posted a strong profit anyway. $NFLX https://t.co/e4vuBB0jxN")
('2017-04-18 23:04:32', "RT @Market: @netflix Netflix has died ... and reincarnated as Wendy's Twitter feed. #sassy $NFLX")
('2017-04-18 22:52:33', 'RT @CNBCnow: EARNINGS: Netflix reports lower-than-expected net subscriber additions while beating EPS estimates; $NFLX down 3.7%  https://t…')
('2017-04-18 22:47:16', 'RT @vieiraUAE: American troll close to Trump does not understand Netflix $NFLX losing his money short. 6000% ROI @stockmarkettv https://t.c…')
('2017-04-18 22:47:12', 'Stock Market Commentary For Wednesday, April 19 - $AAPL, $JWN, $JPM, $NFLX, $DDS, $BA, $JCP, $BAC, $JNJ, $AMZN, $M https://t.co/xBWP9ZoEvA')
('2017-04-18 22:46:50', 'RT @racernic: $SPY $NFLX $AAPL and what ever else you want to chat abt. come join us. tons of fun https://t.co/OCAbVFBkfm')
('2017-04-18 22:46:15', 'American troll close to Trump does not understand Netflix $NFLX losing his money short. 6000% ROI @stockmarkettv https://t.co/gTjpYoYk2v')
('2017-04-18 22:34:47', "RT @WallStJesus: 🔥TODAY'S ACTIVE FLOW &gt;&gt; $BAC $NFLX $AAPL $C $GS $AMZN $FB $X $FCX $JPM $KATE $F $AMD $NVDA $TSLA $BABA $BABA $JNJ $SNAP $G…")
('2017-04-18 22:31:19', 'RT @MarketFoolery: One thing we learned from #Netflix latest quarter?\nDo NOT underestimate the lure of @AdamSandler \n$NFLX $UAL\nhttps://t.c…')
('2017-04-18 22:30:55', 'One thing we learned from #Netflix latest quarter?\nDo NOT underestimate the lure of @AdamSandler \n$NFLX $UAL\nhttps://t.co/KMQjD38TmQ')
('2017-04-18 22:26:45', "RT @TheBubbleBubble: Netflix will burn $2 billion in 2017, and negative free cash flow will continue 'for many years': https://t.co/kUiPgLp…")
('2017-04-18 22:23:49', 'Free Option Trading Tools\n\nhttps://t.co/M4atUQr2Zu\n\n$IBM $BABA $NFLX $GS $UAL $FB $AMZN $GOOGL $AAPL $CMG $SPY $NVDA $AMD $MSFT $XOM $V $CAT')
('2017-04-18 22:20:14', 'The I Know FIrst newsletter is ready! Read our Weekly newsletter, here--- &gt;&gt;\nhttps://t.co/cpHaJNkMfy   $aapl $nflx $spy #premarket')
('2017-04-18 22:20:14', 'The I Know FIrst newsletter is ready! Read our Weekly newsletter, here--- &gt;&gt;\nhttps://t.co/VBgeBRtCRj   $aapl $nflx $spy #premarket')
('2017-04-18 22:20:14', 'The I Know FIrst newsletter is ready! Read our Weekly newsletter, here--- &gt;&gt;\nhttps://t.co/sVfZSZvyfr   $aapl $nflx $spy #premarket')
('2017-04-18 22:20:14', 'The I Know FIrst newsletter is ready! Read our Weekly newsletter, here--- &gt;&gt;\nhttps://t.co/Q7sjrk07Ox   $aapl $nflx $spy #premarket')
('2017-04-18 22:20:14', 'The I Know FIrst newsletter is ready! Read our Weekly newsletter, here--- &gt;&gt;\nhttps://t.co/CEtQkF7WVl   $aapl $nflx $spy #premarket')
('2017-04-18 22:20:14', 'The I Know FIrst newsletter is ready! Read our Weekly newsletter, here--- &gt;&gt;\nhttps://t.co/uN6VXx7TrN   $aapl $nflx $spy #premarket')
('2017-04-18 22:20:14', 'The I Know FIrst newsletter is ready! Read our Weekly newsletter, here--- &gt;&gt;\nhttps://t.co/Ft0S93ucmY   $aapl $nflx $spy #premarket')
('2017-04-18 22:20:14', 'The I Know FIrst newsletter is ready! Read our Weekly newsletter, here--- &gt;&gt;\nhttps://t.co/4CBFXWCKcE   $aapl $nflx $spy #premarket')
('2017-04-18 22:20:14', 'The I Know FIrst newsletter is ready! Read our Weekly newsletter, here--- &gt;&gt;\nhttps://t.co/xw4158q2EX   $aapl $nflx $spy #premarket')
('2017-04-18 22:20:14', 'The I Know FIrst newsletter is ready! Read our Weekly newsletter, here--- &gt;&gt;\nhttps://t.co/Pm0wdjpM19   $aapl $nflx $spy #premarket')
('2017-04-18 22:20:14', 'The I Know FIrst newsletter is ready! Read our Weekly newsletter, here--- &gt;&gt;\nhttps://t.co/CDtbHofyfW   $aapl $nflx $spy #premarket')
('2017-04-18 22:20:14', 'The I Know FIrst newsletter is ready! Read our Weekly newsletter, here--- &gt;&gt;\nhttps://t.co/NczrEuxJnj   $aapl $nflx $spy #premarket')
('2017-04-18 22:20:14', 'The I Know FIrst newsletter is ready! Read our Weekly newsletter, here--- &gt;&gt;\nhttps://t.co/VPEXrhegS5   $aapl $nflx $spy #premarket')
('2017-04-18 22:16:19', 'Vicus Capital Takes Position in Netflix, Inc. $NFLX https://t.co/8KcErd4DY1')
('2017-04-18 22:16:19', 'Vicus Capital Takes Position in Netflix, Inc. $NFLX https://t.co/15rtW7L4Ys')
('2017-04-18 22:14:15', 'Vicus Capital Invests $208,000 in Netflix, Inc. $NFLX https://t.co/Jci4mZpbJz #stocks')
('2017-04-18 22:13:53', 'RT @charliebilello: Netflix Revenue growth, year-over-year: +35%. $NFLX https://t.co/s33DcWAMZO')
('2017-04-18 22:13:41', 'Vicus Capital Invests $208,000 in Netflix, Inc. $NFLX https://t.co/z4BWFI69EA')
